Gene	Protein	Uniprot id	Pfam ID	Start End domain	Part of evolutionary analysis	classification (Fig 1C)
ENSG00000262607	ENSP00000461496	A0A0G2JLG2	PF16453;PF01369	859-996;651-839	0	Non-PRD proteins
ENSG00000121207	ENSP00000337224	O95237	PF04970	43-174	1	Viral-binding non-PRDs
ENSG00000151376	ENSP00000440246	Q16798	PF03949;PF00390	305-557;114-295	0	Non-PRD proteins
ENSG00000185198	ENSP00000482358	Q6UWY2	PF00089	34-258	1	PRD proteins
ENSG00000144749	ENSP00000273261	Q96JA1	PF07679;PF07679;PF13855;PF13855;PF13855;PF13855;PF13855;PF01463;PF13927	599-689;693-780;70-104;140-189;188-247;307-367;382-442;465-490;494-581	1	Viral-binding non-PRDs
ENSG00000108829	ENSP00000225972	Q96AG4	PF13855;PF13855	18-74;62-120	1	Viral-binding non-PRDs
ENSG00000100053	ENSP00000215855	P26998	PF00030;PF00030	25-107;115-197	1	Non-PRD proteins
ENSG00000131788	ENSP00000376765	Q9Y6X2	PF14324;PF02891	126-278;323-372	1	Viral-binding non-PRDs
ENSG00000176444	ENSP00000357345	P49760	PF00069	163-479	1	Inferred viral-binding PRDs
ENSG00000104936	ENSP00000345997	Q09013	PF00069;PF08826	71-339;470-530	0	PRD proteins
ENSG00000168298	ENSP00000307705	P10412	PF00538	37-108	0	Viral-binding non-PRDs
ENSG00000258453	ENSP00000492923	Q8NH07	PF13853	46-323	0	Non-PRD proteins
ENSG00000158748	ENSP00000289753	P50406	PF00001	43-320	0	Non-PRD proteins
ENSG00000171944	ENSP00000493298	Q9H2C5	PF13853	33-313	0	Non-PRD proteins
ENSG00000137707	ENSP00000348300	Q9NY30	PF07742	1-115	0	Non-PRD proteins
ENSG00000280204	ENSP00000485156	Q8NH92	PF13853	44-321	0	Non-PRD proteins
ENSG00000114654	ENSP00000414597	Q9HA90	PF15799	18-598	0	Non-PRD proteins
ENSG00000182220	ENSP00000490083	O75787	PF07850	254-350	1	Viral-binding non-PRDs
ENSG00000240038	ENSP00000481588	P19961	PF00128;PF02806	52-348;421-508	0	Non-PRD proteins
ENSG00000025796	ENSP00000357998	Q9UGP8	PF00226;PF02889;PF02889	104-162;222-500;611-713	0	Viral-binding non-PRDs
ENSG00000122035	ENSP00000241463	Q6T310	PF00071	29-198	1	Non-PRD proteins
ENSG00000142025	ENSP00000469525	B4DX56	PF00751;PF15791;PF15791	38-84;239-301;309-417	0	Non-PRD proteins
ENSG00000065559	ENSP00000410402	P45985	PF00069	102-367	1	PRD proteins
ENSG00000168070	ENSP00000301896	Q3KP22	PF15077;PF15077	1-51;48-159	1	Non-PRD proteins
ENSG00000181555	ENSP00000386759	Q9BYW2	PF00397;PF00856;PF08236;PF17907	2391-2420;1561-1667;2467-2557;1511-1547	1	viral-binding PRDs
ENSG00000171931	ENSP00000310382	Q5XX13	PF00400;PF00400;PF00400	445-481;485-521;564-600	0	PRD proteins
ENSG00000141480	ENSP00000403701	P32121	PF00339;PF02752	19-175;194-349	0	Viral-binding non-PRDs
ENSG00000155792	ENSP00000286234	Q8TB45	PF00610;PF00610	48-117;148-217	1	Non-PRD proteins
ENSG00000175595	ENSP00000310520	Q92889	PF02732	686-816	0	Viral-binding non-PRDs
ENSG00000205143	ENSP00000368189	A6NKF2	PF01388	115-201	1	Non-PRD proteins
ENSG00000105290	ENSP00000221891	P51693	PF02177;PF10515;PF12924;PF12925	53-154;596-647;155-211;285-467	0	Viral-binding non-PRDs
ENSG00000183850	ENSP00000472959	Q6ZMV8	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	256-278;284-306;312-334;340-362;396-418;424-446;452-474;480-502;3-44	0	Non-PRD proteins
ENSG00000025293	ENSP00000363124	Q9BVI0	PF18115;PF12618	89-136;176-260	0	Non-PRD proteins
ENSG00000185361	ENSP00000444215	Q8WVP5	PF05527	4-184	0	Viral-binding non-PRDs
ENSG00000162889	ENSP00000356070	P49137	PF00069	64-325	0	viral-binding PRDs
ENSG00000102230	ENSP00000368439	Q9Y5K3	PF01467	80-208	1	Non-PRD proteins
ENSG00000112499	ENSP00000355920	O15244	PF00083	91-529	0	Viral-binding non-PRDs
ENSG00000224470	ENSP00000415822	P0C7T5	PF08517	469-582	0	Non-PRD proteins
ENSG00000163121	ENSP00000478591	Q96EH8	PF07177;PF13920	20-172;199-247	0	Non-PRD proteins
ENSG00000256394	ENSP00000442477	Q9NY37	PF00858	41-466	1	Non-PRD proteins
ENSG00000082516	ENSP00000285873	Q8TEQ6	PF12894;PF12894;PF00400;PF00400;PF00400	391-480;524-589;54-95;185-255;629-668	1	Inferred viral-binding PRDs
ENSG00000163817	ENSP00000346298	Q9NP91	PF00209	5-581	0	Non-PRD proteins
ENSG00000187688	ENSP00000342222	Q9Y5S1	PF00520;PF12796	389-657;67-193	1	Viral-binding non-PRDs
ENSG00000091664	ENSP00000263160	Q9P2U8	PF07690	76-461	1	Non-PRD proteins
ENSG00000244274	ENSP00000361805	Q9BQY9	PF04440	101-241	1	Viral-binding non-PRDs
ENSG00000140263	ENSP00000267814	Q00796	PF00107;PF08240	183-313;32-143	0	Non-PRD proteins
ENSG00000221916	ENSP00000386230	Q9NVV2	PF17692	1-128	0	Non-PRD proteins
ENSG00000123728	ENSP00000359911	Q9Y3L5	PF00071	5-166	0	Viral-binding non-PRDs
ENSG00000133101	ENSP00000255465	P78396	PF00134;PF02984	214-340;342-459	1	viral-binding PRDs
ENSG00000139428	ENSP00000445920	Q96EY8	PF01923	58-227	1	Viral-binding non-PRDs
ENSG00000163297	ENSP00000306185	P58335	PF00092;PF05587;PF05586	44-212;216-317;394-484	1	PRD proteins
ENSG00000074660	ENSP00000263071	Q14162	PF00053	103-131	0	Non-PRD proteins
ENSG00000107859	ENSP00000439383	O75364	PF00046;PF03826	63-119;258-275	0	PRD proteins
ENSG00000036565	ENSP00000387549	P54219	PF07690	96-433	1	Viral-binding non-PRDs
ENSG00000253831	ENSP00000430271	Q6ZN32	PF00178	40-120	0	Non-PRD proteins
ENSG00000196460	ENSP00000494216	A0A2R8Y560	PF02257	1-55	1	Non-PRD proteins
ENSG00000258223	ENSP00000447588	Q8IYP2	PF00089	20-234	0	PRD proteins
ENSG00000158467	ENSP00000315931	Q96HN2	PF00670;PF05221;PF05221	370-531;185-322;318-610	0	Viral-binding non-PRDs
ENSG00000108443	ENSP00000225577	P23443	PF00069;PF00433	91-352;373-413	0	Inferred viral-binding PRDs
ENSG00000125755	ENSP00000245934	Q92797	PF11935;PF12295	122-349;887-1068	0	Non-PRD proteins
ENSG00000243489	ENSP00000334197	P60412	PF13885;PF13885;PF13885	122-165;168-212;199-244	0	Non-PRD proteins
ENSG00000205336	ENSP00000455215	Q9Y653	PF00002;PF01825;PF18619;PF18587	400-654;344-388;173-220;29-162	0	Viral-binding non-PRDs
ENSG00000121413	ENSP00000470123	Q8TBC5	PF02023	45-134	0	Non-PRD proteins
ENSG00000128313	ENSP00000249044	Q9BWW9	PF05461	44-350	0	Non-PRD proteins
ENSG00000131480	ENSP00000253799	O75106	PF02728;PF02727;PF01179	165-263;62-148;308-717	0	Non-PRD proteins
ENSG00000053108	ENSP00000265342	Q6MZW2	PF07648;PF13927;PF13927	87-133;250-324;340-417	1	Non-PRD proteins
ENSG00000066135	ENSP00000361473	O75164	PF02373;PF02375;PF18104;PF18104;PF13831;PF13832	175-291;15-49;902-936;960-994;732-767;773-884	1	Non-PRD proteins
ENSG00000159398	ENSP00000428864	Q6NT32	PF00135	29-539	0	Non-PRD proteins
ENSG00000108510	ENSP00000380888	Q9UHV7	PF06333;PF18296	1760-2163;1367-1724	1	Viral-binding non-PRDs
ENSG00000276410	ENSP00000482674	P33778	PF00125	2-102	0	Viral-binding non-PRDs
ENSG00000140443	ENSP00000497069	P08069	PF01030;PF01030;PF07714;PF00757	51-161;352-466;999-1266;175-333	1	PRD proteins
ENSG00000136247	ENSP00000379937	Q9NPG8	PF01529	144-294	0	PRD proteins
ENSG00000275713	ENSP00000479169	Q93079	PF00125	3-102	0	Viral-binding non-PRDs
ENSG00000124784	ENSP00000369162	Q9BRS2	PF01163	193-381	1	Viral-binding non-PRDs
ENSG00000119912	ENSP00000265986	P14735	PF00675;PF16187;PF05193;PF05193	74-212;422-703;237-417;706-889	1	viral-binding PRDs
ENSG00000053254	ENSP00000343288	O00409	PF00250	113-200	0	Non-PRD proteins
ENSG00000123737	ENSP00000368984	Q06265	PF01138;PF03725	31-163;189-255	1	Viral-binding non-PRDs
ENSG00000142684	ENSP00000270812	A9J4F5	PF12171	60-86	0	Non-PRD proteins
ENSG00000188467	ENSP00000341550	Q71RS6	PF01699;PF01699	71-216;333-484	1	Non-PRD proteins
ENSG00000121361	ENSP00000499462	Q15842	PF01007;PF17655	37-184;191-363	1	Non-PRD proteins
ENSG00000264364	ENSP00000477310	Q96FJ2	PF01221	5-88	1	viral-binding PRDs
ENSG00000163806	ENSP00000335628	Q5MJ70	PF11357	69-199	1	Non-PRD proteins
ENSG00000155755	ENSP00000386264	Q96Q45	PF15383	140-384	1	Non-PRD proteins
ENSG00000118855	ENSP00000484175	Q9H3U5	PF07690;PF07690	45-380;269-462	1	Viral-binding non-PRDs
ENSG00000181092	ENSP00000389814	Q15848	PF00386;PF01391	114-239;37-108	0	Non-PRD proteins
ENSG00000166596	ENSP00000339449	Q8N1V2	PF00400;PF00400;PF00400;PF00400;PF00400	54-97;101-141;451-489;534-573;577-615	0	PRD proteins
ENSG00000144596	ENSP00000480660	A0A087WX15	PF17820;PF00595;PF00595;PF00595;PF00595;PF00595;PF00595	583-639;145-225;243-328;346-426;654-735;753-832;1038-1117	0	PRD proteins
ENSG00000179270	ENSP00000332809	A6NGG8	PF15449	1-1264	1	Non-PRD proteins
ENSG00000225697	ENSP00000378920	Q9BXS9	PF00916;PF01740	90-480;531-738	1	Non-PRD proteins
ENSG00000124126	ENSP00000361009	Q8TCU6	PF00610;PF00610;PF00621	426-494;527-595;53-238	1	Non-PRD proteins
ENSG00000214078	ENSP00000317257	B0QZ18	PF07002;PF00168;PF00168	309-526;11-121;143-260	0	Non-PRD proteins
ENSG00000197256	ENSP00000468002	Q63ZY3	PF12075;PF12796;PF12796	31-69;677-769;764-834	0	Viral-binding non-PRDs
ENSG00000181767	ENSP00000323982	Q8N162	PF13853	32-308	0	Non-PRD proteins
ENSG00000149577	ENSP00000486114	C9JBG5	PF13965	169-835	1	Viral-binding non-PRDs
ENSG00000159723	ENSP00000290953	O00253	PF05039	34-122	1	Non-PRD proteins
ENSG00000186599	ENSP00000335281	Q8NG35	PF13841	45-74	0	Viral-binding non-PRDs
ENSG00000225528	ENSP00000491117	A0A024R1R8	PF09072	3-64	0	Non-PRD proteins
ENSG00000178999	ENSP00000313950	Q96GD4	PF00069	77-327	0	Inferred viral-binding PRDs
ENSG00000180116	ENSP00000317671	Q86WS4	PF15089	229-652	0	Non-PRD proteins
ENSG00000248144	ENSP00000426083	P00326	PF00107;PF08240	203-339;34-161	0	Non-PRD proteins
ENSG00000136634	ENSP00000412237	P22301	PF00726	5-174	1	Viral-binding non-PRDs
ENSG00000197343	ENSP00000419135	Q8N720	PF00096;PF00096;PF00096;PF00096;PF00096	212-234;240-262;303-325;380-402;408-430	0	Viral-binding non-PRDs
ENSG00000018280	ENSP00000233202	P49279	PF01566	78-463	1	Non-PRD proteins
ENSG00000130755	ENSP00000472249	O60234	PF00241	14-137	0	Non-PRD proteins
ENSG00000152683	ENSP00000368648	Q6NXT4	PF01545	34-255	1	Non-PRD proteins
ENSG00000136280	ENSP00000370503	Q9BSQ5	PF16545	287-387	1	Non-PRD proteins
ENSG00000171060	ENSP00000307129	Q6P047	PF14769	31-137	0	Non-PRD proteins
ENSG00000104848	ENSP00000221444	Q96RP8	PF02214;PF00520	15-106;142-405	0	Non-PRD proteins
ENSG00000262560	ENSP00000415219	H7C423	PF03348	2-107	0	Non-PRD proteins
ENSG00000175826	ENSP00000458758	O95476	PF03031	62-231	0	Viral-binding non-PRDs
ENSG00000089280	ENSP00000455282	H3BPE7	PF00641;PF00076	423-454;288-366	1	viral-binding PRDs
ENSG00000137720	ENSP00000431180	E9PMC1	PF06608	40-189	1	Non-PRD proteins
ENSG00000093183	ENSP00000264454	Q9BRL7	PF13774	37-117	1	Non-PRD proteins
ENSG00000103005	ENSP00000219281	Q9BQ65	PF09749	43-263	1	Non-PRD proteins
ENSG00000233087	ENSP00000490038	Q53S08	PF00071	15-175	0	Non-PRD proteins
ENSG00000204611	ENSP00000471000	Q08AN1	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	185-207;213-235;241-263;269-291;297-319;325-347;353-375;381-403;409-431;437-459;465-487;493-515;521-543;549-571;577-599;605-627;633-655;661-683;689-711;717-739;745-767;6-47	0	Non-PRD proteins
ENSG00000198677	ENSP00000351596	Q6PGP7	PF13181;PF13181;PF13181;PF13432;PF13432	40-73;861-894;1400-1433;391-450;568-632	1	Viral-binding non-PRDs
ENSG00000241690	ENSP00000369967	Q6ZPB1	PF17717	1-115	0	Non-PRD proteins
ENSG00000163428	ENSP00000295628	Q96CX6	PF13855;PF13855	120-178;143-196	1	Viral-binding non-PRDs
ENSG00000217930	ENSP00000459955	I3L3T0	PF03656	21-145	0	Non-PRD proteins
ENSG00000186310	ENSP00000362171	Q99457	PF00956	106-487	0	Non-PRD proteins
ENSG00000099290	ENSP00000282633	Q641Q2	PF15255	944-1081	1	Non-PRD proteins
ENSG00000104731	ENSP00000457570	Q8TBB5	PF07646;PF07646;PF13415;PF13418	231-290;295-349;131-184;63-117	0	PRD proteins
ENSG00000144119	ENSP00000272520	Q7Z5L3	PF00386;PF01391	160-284;72-135	0	Non-PRD proteins
ENSG00000103978	ENSP00000374484	Q8NBN3	PF06814	178-467	1	Viral-binding non-PRDs
ENSG00000204583	ENSP00000479730	A6NCL2	PF15083;PF15083	27-80;66-153	0	Non-PRD proteins
ENSG00000147127	ENSP00000363597	Q5JT25	PF00071	33-194	0	Non-PRD proteins
ENSG00000129968	ENSP00000250974	Q96GS6	PF12146	108-229	0	Non-PRD proteins
ENSG00000137693	ENSP00000478927	P46937	PF00397;PF00397	173-202;232-261	0	viral-binding PRDs
ENSG00000117707	ENSP00000261454	Q92786	PF05044	579-732	1	Non-PRD proteins
ENSG00000236334	ENSP00000393845	P0DN37	PF00160	7-163	0	Non-PRD proteins
ENSG00000123572	ENSP00000434830	Q7Z2Y5	PF00069;PF00780	25-313;1213-1549	0	PRD proteins
ENSG00000205858	ENSP00000384971	A6NJI9	PF14580	74-198	0	Non-PRD proteins
ENSG00000171396	ENSP00000375076	Q9BYR3	PF13885;PF13885;PF13885;PF13885;PF13885	2-49;40-89;70-119;85-134;126-166	0	Non-PRD proteins
ENSG00000127666	ENSP00000248244	Q8IUC6	PF12721;PF17798	642-697;1-148	0	Viral-binding non-PRDs
ENSG00000132639	ENSP00000307341	P60880	PF00835	91-141	1	Non-PRD proteins
ENSG00000120334	ENSP00000348527	Q8N0S6	PF13092	177-324	1	Non-PRD proteins
ENSG00000187758	ENSP00000209668	P07327	PF00107;PF08240	203-339;34-161	0	Non-PRD proteins
ENSG00000105640	ENSP00000222247	Q02543	PF01775	7-130	0	Viral-binding non-PRDs
ENSG00000189091	ENSP00000305790	Q15393	PF03178;PF10433	863-1184;76-592	1	Viral-binding non-PRDs
ENSG00000198169	ENSP00000292562	Q9BRH9	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF01352	209-231;237-259;265-287;293-315;321-343;349-371;377-399;405-427;433-455;461-483;489-511;594-616;14-55	0	Viral-binding non-PRDs
ENSG00000009694	ENSP00000403954	Q9UKZ4	PF06484;PF06484;PF15636	14-180;164-317;2641-2718	0	Non-PRD proteins
ENSG00000160781	ENSP00000338330	Q6TCH4	PF03006	43-272	0	Non-PRD proteins
ENSG00000110042	ENSP00000227451	Q9Y2E6	PF00097;PF02825;PF02825;PF18102	409-467;8-78;91-155;475-609	1	Non-PRD proteins
ENSG00000087495	ENSP00000360054	Q96KR7	PF02755	440-463	1	PRD proteins
ENSG00000095596	ENSP00000224356	O43174	PF00067	45-487	1	Non-PRD proteins
ENSG00000205358	ENSP00000457114	H3BTC4	PF00131	1-40	0	Non-PRD proteins
ENSG00000137074	ENSP00000369147	Q7Z2E3	PF11969;PF16278;PF17913	181-292;297-356;19-115	1	Non-PRD proteins
ENSG00000158869	ENSP00000356971	A6NCQ8	PF11628	21-51	0	Non-PRD proteins
ENSG00000187682	ENSP00000490793	Q7Z444	PF00071	43-201	0	Non-PRD proteins
ENSG00000274588	ENSP00000477515	Q5KSL6	PF00130;PF00781;PF00169;PF00609	399-452;491-613;217-309;857-1014	0	Non-PRD proteins
ENSG00000125962	ENSP00000474720	Q6P1M9	PF04826	298-552	0	Non-PRD proteins
ENSG00000188266	ENSP00000373640	A2RU49	PF01636	36-297	1	Non-PRD proteins
ENSG00000145734	ENSP00000351575	A6H8Y1	PF15963	293-398	0	Non-PRD proteins
ENSG00000152266	ENSP00000282091	P01270	PF01279	29-112	1	Non-PRD proteins
ENSG00000102239	ENSP00000359682	P32247	PF00001	64-331	1	Non-PRD proteins
ENSG00000150656	ENSP00000351682	Q96KN2	PF07687;PF01546	241-402;128-502	0	Non-PRD proteins
ENSG00000260903	ENSP00000477059	Q5GH72	PF09815	58-442	0	Viral-binding non-PRDs
ENSG00000162739	ENSP00000357036	Q96DU3	PF07686	26-127	0	Viral-binding non-PRDs
ENSG00000033800	ENSP00000438574	O75925	PF14324;PF02891	135-286;331-380	1	Viral-binding non-PRDs
ENSG00000265817	ENSP00000420405	O95073	PF13873	6-85	0	Non-PRD proteins
ENSG00000272741	ENSP00000405181	E7ESA3	PF03645	43-106	0	Non-PRD proteins
ENSG00000239285	ENSP00000372921	A0A140T8X3	PF01214	1-37	0	Non-PRD proteins
ENSG00000168329	ENSP00000351059	P49238	PF00001	48-293	1	Non-PRD proteins
ENSG00000159713	ENSP00000457275	Q9BW30	PF05517	11-166	1	Non-PRD proteins
ENSG00000152049	ENSP00000281830	Q8WWG9	PF02060	46-137	1	Non-PRD proteins
ENSG00000072315	ENSP00000262839	Q9UL62	PF00520;PF08344;PF12796	363-636;176-238;36-126	1	Non-PRD proteins
ENSG00000168772	ENSP00000378248	J9JIF5	PF02008	300-341	0	Non-PRD proteins
ENSG00000253598	ENSP00000428612	Q5PT55	PF01758	148-332	0	Non-PRD proteins
ENSG00000057663	ENSP00000343313	Q9H1Y0	PF04106	79-270	1	Viral-binding non-PRDs
ENSG00000198355	ENSP00000353824	Q86V86	PF00069	40-293	0	PRD proteins
ENSG00000095981	ENSP00000391498	Q96T55	PF07885;PF07885	64-149;169-254	1	Non-PRD proteins
ENSG00000163638	ENSP00000418735	Q9P2N4	PF01421;PF19030;PF19030;PF19030;PF19030;PF19030;PF19030;PF19030;PF19030;PF19030;PF19030;PF19030;PF19030;PF19030;PF00090;PF01562;PF05986;PF08685;PF17771	293-499;939-996;1001-1053;1056-1108;1111-1165;1186-1239;1242-1295;1332-1383;1386-1439;1445-1498;1501-1554;1559-1612;1616-1675;1681-1733;591-642;49-207;753-871;1736-1934;511-578	1	Non-PRD proteins
ENSG00000100036	ENSP00000339626	Q6ICL7	PF03151	47-326	1	Non-PRD proteins
ENSG00000175213	ENSP00000309606	Q9H9D4	PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF00096;PF13894	381-403;409-431;437-459;468-490;496-518;551-573;607-629;579-602	0	Viral-binding non-PRDs
ENSG00000183044	ENSP00000454963	H3BNQ7	PF00202	65-471	1	Viral-binding non-PRDs
ENSG00000152078	ENSP00000359222	Q96MV1	PF03798	48-239	0	Non-PRD proteins
ENSG00000186166	ENSP00000334767	Q86UT8	PF14968	6-323	1	Non-PRD proteins
ENSG00000011304	ENSP00000489604	A0A0U1RRM4	PF11835;PF13893;PF13893;PF00076	204-291;40-153;366-490;513-578	1	viral-binding PRDs
ENSG00000274971	ENSP00000479531	A0A0G2JMM0	PF00047;PF00047;PF00047	32-110;127-210;227-306	0	Non-PRD proteins
ENSG00000204001	ENSP00000482512	Q6JVE9	PF00061	33-158	0	Non-PRD proteins
ENSG00000172000	ENSP00000302603	Q9HAH1	PF00096;PF00096;PF00096;PF00096;PF01352;PF13894;PF13894	147-169;175-197;203-225;315-337;3-44;231-254;259-282	0	Non-PRD proteins
ENSG00000183688	ENSP00000331915	Q8N5W9	PF15068	1-202	0	Non-PRD proteins
ENSG00000172938	ENSP00000310631	Q8TDS7	PF00001	44-276	0	Non-PRD proteins
ENSG00000196639	ENSP00000380247	P35367	PF00001	44-468	0	Non-PRD proteins
ENSG00000172379	ENSP00000307479	Q9HBZ2	PF00010;PF08447;PF00989	64-117;347-435;137-244	1	Non-PRD proteins
ENSG00000101444	ENSP00000217426	P23526	PF00670;PF05221;PF05221	191-352;6-142;140-431	0	Viral-binding non-PRDs
ENSG00000136379	ENSP00000258884	Q6PCB6	PF12146	129-249	1	Non-PRD proteins
ENSG00000180828	ENSP00000318799	Q8NFJ8	PF00010	243-297	0	Non-PRD proteins
ENSG00000180611	ENSP00000376246	Q8IYB1	PF03281	108-402	1	Non-PRD proteins
ENSG00000164576	ENSP00000297109	Q9HAJ7	PF13867;PF13866	114-166;24-95	1	Non-PRD proteins
ENSG00000099899	ENSP00000395738	F2Z2W7	PF13847	430-528	1	Viral-binding non-PRDs
ENSG00000164687	ENSP00000297258	Q01469	PF00061	8-134	0	Viral-binding non-PRDs
ENSG00000101052	ENSP00000362121	Q9Y366	PF09822	1-116	1	Non-PRD proteins
ENSG00000124222	ENSP00000360183	O14662	PF00804;PF05739	78-265;266-318	0	Viral-binding non-PRDs
ENSG00000272804	ENSP00000476821	P60409	PF13885;PF13885;PF13885	125-170;202-245;247-286	0	Non-PRD proteins
ENSG00000165832	ENSP00000298746	Q8WWH5	PF01509	106-255	1	Viral-binding non-PRDs
ENSG00000115194	ENSP00000233535	Q99726	PF01545	76-293	1	Non-PRD proteins
ENSG00000055950	ENSP00000359262	Q8N983	PF05047	43-95	0	Viral-binding non-PRDs
ENSG00000166317	ENSP00000378289	Q9H987	PF00595	6-85	1	PRD proteins
ENSG00000180386	ENSP00000375149	A8MTY7	PF13885;PF13885;PF13885;PF13885	4-46;45-84;75-119;122-166	0	Non-PRD proteins
ENSG00000115935	ENSP00000272746	O43516	PF02205	29-55	0	Non-PRD proteins
ENSG00000118369	ENSP00000431876	Q9P2H5	PF00443	441-923	1	Non-PRD proteins
ENSG00000000460	ENSP00000286031	Q9NSG2	PF14868	176-728	1	Viral-binding non-PRDs
ENSG00000187180	ENSP00000357772	Q5TA81	PF14672	53-110	0	Non-PRD proteins
ENSG00000278306	ENSP00000480969	Q14952	PF00047;PF00047	32-115;132-213	0	Non-PRD proteins
ENSG00000139675	ENSP00000350090	Q32P51	PF11627;PF00076;PF00076	255-292;16-85;107-178	0	viral-binding PRDs
ENSG00000141858	ENSP00000431971	E9PIW9	PF00536	354-417	0	Non-PRD proteins
ENSG00000215912	ENSP00000383873	A0A1C7CYW7	PF13432;PF13432;PF13432	805-853;823-888;981-1057	1	Non-PRD proteins
ENSG00000112297	ENSP00000488010	A0A0J9YWL0	PF00652;PF00030;PF00030;PF00030;PF00030;PF00030;PF00030	1996-2124;1431-1506;1532-1613;1627-1720;1728-1811;1824-1903;1911-1991	0	Non-PRD proteins
ENSG00000101447	ENSP00000481110	A0A087WXK8	PF07894	47-326	0	Viral-binding non-PRDs
ENSG00000150244	ENSP00000402414	Q8IWZ4	PF15227;PF00643	15-47;88-129	0	Non-PRD proteins
ENSG00000170852	ENSP00000302586	Q8IY47	PF07707;PF00651;PF01344	133-232;21-128;370-416	0	PRD proteins
ENSG00000177023	ENSP00000322191	Q8WTQ1	PF13841	29-58	0	Non-PRD proteins
ENSG00000115919	ENSP00000386731	Q16719	PF00266	69-403	0	Non-PRD proteins
